organization,job_position,job_code,location,summary,roles_responsibilities,required_skills,position,years_of_experience,contract_length,work_auth,certifications,benefits,pay_rate,reward_rate
Ascension Health,RN Step Down Days,ASC-9886|AH-HHC-23948,onsite,"['Department: Stepdown Intermediate Care', 'Shift Timings: Morning Shift 07:00 - 19:30 Hours ']","['RN for Progressive Care Unit.', 'All patients on bedside cardiac monitors.', 'Typically 1:4', 'RN to patient ratios. 48 hours weekly, every other weekend and one major holiday per contract.']","['RN Step Down', 'Travel RN', 'Traveler Step Down RN']",1 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, Advanced Cardiovascular Life Support (ACLS), Licensed Registered Nurse credentialed from the Indiana Board of Nursing required","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.69 /hr","Reward Rate:
USD
$
6.69 /hr"
Ascension Health,RN Medical / Surgical,ASC-9904|AH-HHC-3952,onsite,"['Department: Stepdown Intermediate Care', 'Shift Timings: Night Shift 19:00 - 07:30 Hours ']","['Implement and monitor patient care plans. Monitor, record and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['Registered Nurse > Registered Nurse Nursing', 'Travel RN', 'Travel Registered Nurse']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, National Institutes of Health (NIH) Certification","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.96 /hr","Reward Rate:
USD
$
6.96 /hr"
Ascension Health,RN Cath Lab,ASC-7719|AH-HHC-97570,onsite,"['40 hours per week; ACLS; Call: based on department needs but usually one day per week day and one weekend per month, Holidays covered with call; Cath/Angio EP Experience needed; may need to float to Mercy and Calumet if needed.', 'Department: Cardiac Cath Labs Anc', 'Shift Timing: 07:00 - 17:30']","['Assess, prepare and position patients for procedures.', 'Perform conscious sedation and hemodynamic monitoring as necessary.', 'Prepare, implement and document plan of care.', ""Communicate patient's condition to physician before, during and after procedures."", 'Perform and/or facilitate diagnostic, therapeutic and interventional procedures.', 'Perform set up and provide equipment and supplies before, during and after procedures.']","['Cath Lab', 'Registered Nurse Cath Lab', 'Traveler Registered Nurse Cath Lab']",1 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, Advanced Cardiovascular Life Support (ACLS) Certification","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
7.47 /hr","Reward Rate:
USD
$
7.47 /hr"
Ascension Health,RN CRCU/ICU,ASC-9976|AH-HHC-83568,onsite,"['Department: Nurse Staffing', 'Shift Timings: Night Shift 19:00 - 07:30 Hours ']","['Implement and monitor patient care plans. Monitor, record, and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['RN CRCU/ICU', 'Traveler RN CRCU/ICU']",1 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, Advanced Cardiovascular Life Support (ACLS), Neonatal Resuscitation Program (NRP) Certification","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
7.47 /hr","Reward Rate:
USD
$
7.47 /hr"
Ascension Health,Xray Technician,ASC-7350|AH-HHC-63227,onsite,"['Department: Diagnostic Radiology Amb', 'Shift timings: Night Shift 18:30 - 07:00 Hours ']","[""Verifying patients' identity and reviewing physicians’ orders before beginning x-ray procedures."", ""Using x-ray equipment to take radiographic images of patients' bones, tissues, and organs as per physicians’ written orders."", 'Explaining x-ray procedures to patients and answering their questions.', 'Positioning patients accordingly, which may include lifting and moving patients with limited mobility.', ""Limiting patients' exposure to radiation by placing lead shields on patients where needed."", 'Ensuring that the x-rays taken are of sound quality to prevent repeat procedures.', 'Working closely with the resident Radiologist to determine whether further tests are required.', 'Ensuring that the x-ray equipment is regularly serviced and in good working order.', 'Promptly notifying management of damaged or malfunctioning x-ray equipment.', 'Maintaining an accurate record of completed x-ray procedures.']",['Xray Technician'],1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen",Certifications: Basic Life Support (BLS),"Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.29 /hr","Reward Rate:
USD
$
6.29 /hr"
Ascension Health,RN Medical Surgical,ASC-9833|AH-HHC-10064,onsite,"['Department: Nursing Administration', 'Shift Timing: Early Morning 06:30 - 19:00 Hours ']","['We are a 409 bed hospital located in Birmingham, Alabama.', 'Our faith based ministry allows you to provide holistic care for your patients.', 'The RN positions within our organization are 4 12 hour shifts per week, with every other weekend required.', 'Holiday rotation will be required.']","['Traveler RN Medical / Surgical', 'RN Medical / Surgical', 'Registered Nurse > Registered Nurse Nursing']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, Clinical practice improvement (CPI)","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.22 /hr","Reward Rate:
USD
$
6.22 /hr"
Ascension Health,Registered Nurse,ASC-9367|AH-HHC-86950,onsite,"['Department: Cardiovascular Unit', 'Shift Timings: Late Evening 18:45 - 07:15']","['Unit Capacity: 36 Beds Typical Nurse to Patient Ratios: 1:3', 'Population Served: Stepdown/PCU: Continuous Bipap, low-dose vasopressors, trauma patients, lumbar drains, CIWA patients on higher doses of Ativan, hyponatremia, emergency dialysis patients, Hyperkalemia, Antifreeze ingestions, Home vents (trachs), Sheath removal, CEA, Rhabdo, Precedex,', 'Stroke patients with Q2 neuro checks, Stable craniotomies, Fentanyl drips.', 'Ages of Patients Served:', 'Young Adult through Late Adult (18 - 60+)']","['Cardiac Telemetry', 'Traveler Registered Nurse']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, Advanced Cardiovascular Life Support (ACLS)","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
5.79 /hr","Reward Rate:
USD
$
5.79 /hr"
Ascension Health,CT Technologist,ASC-7743|AH-HHC-19057,onsite,"['Department: Computerized Tomography CT', 'Shift Timings: Night Shift 19:00-7:00 Hours ']","['Prepare and position patients and select anatomic and technical parameters accurately.', 'Prepare and administer contrast media and/or medications within the accepted scope of practice and applicable state and federal regulations.', 'Observe patient during procedure and reports abnormal activity. Monitor protocols and recommend updates or refinements as warranted.', 'Follow radiation safety procedures and guidelines.']","['CT Technologist RN', 'CT Technologist Traveler', 'CT technologist']",2 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen",Certifications: Basic Life Support (BLS) Certification,"Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.35 /hr","Reward Rate:
USD
$
6.35 /hr"
Ascension Health,Certified Surgical Technologist (CST),ASC-8821|AH-HHC-59745,onsite,"['Endovascular and/or neuro experience is strongly preferred.', 'Department: Surgery IP', 'Shift Timings: 08:45 - 19:00']","['Prepare surgical operating suite with sterile drapes and sterile solutions as well as appropriate sterile and non-sterile instruments and supplies.', 'Hand required/requested instruments and supplies to surgeon during surgery.', 'Assist with preparing, transporting, positioning and draping patients.', 'Maintain instruments in an organized manner and monitor/track instrument counts throughout procedures.']","['Certified Surgical Technologist', 'Certified Surgical Technologist BLS Certification', 'Traveler Certified Surgical Technologist']",1 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen",Certifications: Basic Life Support (BLS) Certification,"Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
5.13 /hr","Reward Rate:
USD
$
5.13 /hr"
Ascension Health,Interventional Radiology Technologist,ASC-8784|AH-HHC-68128,onsite,"['Department: Cardiology Cath Labs Anc', 'Shift Timings: 07:00 - 17:00']","['Preparing examination rooms for patient examinations.', 'Administering radiopharmaceuticals to obtain clear, usable images.', ""Positioning patients and equipment, explaining the procedures, and ensuring patients' comfort."", 'Inserting commands and data into the computer to document and specify the scan sequences, and monitoring the video display to adjust the density or contrast.', 'Monitoring patients during examinations, ensuring their safety, and following procedures to prevent unnecessary exposure to radiation.', ""Producing diagnostic images, reporting important information to the Physician, and updating patients' records."", 'Organizing the daily procedure schedules for emergencies and monitoring radiographic supplies.', 'Performing administrative tasks, such as answering technical questions, scheduling appointments, and offering pre-procedure advice.', 'Performing scheduled maintenance and emergency repairs on radiographic equipment.']","['Interventional Radiology Technician', 'traveler Interventional Radiology Technician']",1 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen",Certifications: Basic Life Support (BLS),"Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
5.99 /hr","Reward Rate:
USD
$
5.99 /hr"
Ascension Health,RN Emergency Room,ASC-8647|AH-HHC-12190,onsite,"['Prepared to respond to emergencies, assist doctors in emergency medical care, and ensure a high quality of nursing standards are maintained, among other duties and required to remain calm under pressure, display sound decision-making skills and be attentive to patient needs.', 'Department: Emergency Department', 'Shift timings: 19:00 - 07:30']","['Being ready to respond and equipped to deal with a medical emergency.', 'Quickly assessing patient needs.', 'Treating critical injuries, allergic reactions, and trauma.', 'Performing minor medical operations.', 'Cleaning wounds.', 'Drawing blood.', 'Maintaining emergency room care standards.', 'Assisting with insurance paperwork.', 'Ensuring the efficiency of the patient check-in process.', 'Displaying strong decision-making skills in emergency scenarios.']","['Emergency Room RN', 'Registered Nurse > Registered Nurse Nursing', 'Travel RN', 'Travel Registered Nurse']",1 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS), Advanced Cardiac Life Support (ACLS), Pediatric Advanced Life Support (PALS), Trauma Nursing Core Course (TNCC), National Institutes of Health (NIH), Neonatal Resuscitation Program (NRP) Certification, Ascension Crisis Prevention Intervention (CPI), Licensed Registered Nurse credentialed from the Wisconsin Board of Nursing required","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
7.47 /hr","Reward Rate:
USD
$
7.47 /hr"
Munson Healthcare,MMC MRI Technologist,1733|MH-HHC-38622,onsite,"['MRI technologist needed to scan out-patients and in-patients in a hospital setting .', 'This tech will work midnights at MMC on the 3T or 1.5 scanners. 9 and 12 hour shifts that are 7on 7off.', 'MRI Experience Required']","['MRI technologist needed to scan out-patients and in-patients in a hospital setting .', 'This tech will work midnights at MMC on the 3T or 1.5 scanners. 9 and 12 hour shifts that are 7on 7off.', 'MRI Experience Required']",,1 Available Positions,3-7 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen",,"Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
8.19 /hr","Reward Rate:
USD
$
8.19 /hr"
Ascension Health,RN Emergency Department (ED),ASC-8642|AH-HHC-33998,onsite,"['Prepared to respond to emergencies, assist doctors in emergency medical care, and ensure a high quality of nursing standards are maintained, among other duties and required to remain calm under pressure, display sound decision-making skills and be attentive to patient needs.', 'Department: Emergency Department', 'Shift timings: 07:00 - 19:30']","['Being ready to respond and equipped to deal with a medical emergency.', 'Quickly assessing patient needs.', 'Treating critical injuries, allergic reactions, and trauma.', 'Performing minor medical operations.', 'Cleaning wounds.', 'Drawing blood.', 'Maintaining emergency room care standards.', 'Assisting with insurance paperwork.', 'Ensuring the efficiency of the patient check-in process.', 'Displaying strong decision-making skills in emergency scenarios.']","['Emergency Room RN', 'Registered Nurse > Registered Nurse Nursing', 'Travel RN', 'Travel Registered Nurse']",1 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS), Advanced Cardiac Life Support (ACLS), Pediatric Advanced Life Support (PALS), Trauma Nursing Core Course (TNCC), National Institutes of Health (NIH), Licensed Registered Nurse credentialed from the Michigan Board of Nursing required","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
7.47 /hr","Reward Rate:
USD
$
7.47 /hr"
Ascension Health,Registered Respiratory Therapist,ASC-9602|AH-HHC-6369,onsite,"['Department: Respiratory Care', 'Shift Timings: Night Shift 18:00 - 06:00']","['Assess patient for appropriate type and frequency of treatment and develops a plan of care based on diagnosis.', 'Implement and monitor patient care plan and equipment.', 'Monitor, record and communicate patient condition.', 'Perform advanced respiratory care modalities.', 'Evaluate respiratory practice, administration of medications, and treatment based on patient outcome.', 'Educate the patient and family about the health condition and provides information about community support groups and other available programs.', 'Respond to emergency resuscitation team code.']","['Registered Respiratory Therapist (RRT)', 'Traveler Registered Respiratory Therapist']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, Advanced Cardiovascular Life Support (ACLS) Certification , Pediatric Advanced Life Support (PALS) Certification, Neonatal Resuscitation Program (NRP) Certification","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
5.13 /hr","Reward Rate:
USD
$
5.13 /hr"
Ascension Health,Ultrasound Tech,ASC-8613|AH-HHC-76181,onsite,"['Department: Ultrasound', 'Shift Timings: 19:00 - 07:30']","['The Ultrasound Technologist performs diagnostic ultrasound studies, demonstrating good judgment in the use and application of ultrasound equipment.', 'The incumbent assesses the findings in the ultrasound examinations and assists the radiologist and staff physicians in interpreting the ultrasound studies.']","['Traveler Ultrasound Technician', 'Ultrasound Technicians']",1 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen",Certifications: Basic Life Support (BLS) Certification,"Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
7.16 /hr","Reward Rate:
USD
$
7.16 /hr"
Ascension Health,RN Cardiovascular Operating Room,ASC-9589|AH-HHC-64826,onsite,"['Department: Peds Surgery', 'Shift timings: Early Morning 06:30 - 17:00 Hours ']","['Perform scrub functions including the selection and handling of instruments and supplies used during procedure.', 'Perform circulating functions including monitoring, recording and communicating patient condition and managing overall nursing care of patient before, during and after procedure.', 'Directly assist operating physician with surgical tasks including hemostasis, suturing and wound exposure as well as patient positioning.', 'Prepare operating rooms and surgical instruments and equipment for use.']","['RN Cardiovascular Operating Room', 'RN Cardiovascular Operating Room (CVOR)', 'Traveler RN Cardiovascular Operating Room']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, Advanced Cardiovascular Life Support (ACLS)","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
7.31 /hr","Reward Rate:
USD
$
7.31 /hr"
Ascension Health,RN Step Down,ASC-8537|AH-HHC-29414,onsite,"['Provide direct nursing care in accordance with established policies, procedures and protocols of the healthcare organization.', 'Department: Stepdown Intermediate Care', 'Shift Timings: 19:00 - 07:30']","['Implement and monitor patient care plans. Monitor, record, and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['RN Step Down', 'Travel RN', 'Traveler Step Down RN']",1 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, National Institutes of Health (NIH), Advanced Cardiovascular Life Support (ACLS), Licensed Registered Nurse credentialed from the Wisconsin Board of Nursing required","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.69 /hr","Reward Rate:
USD
$
6.69 /hr"
Ascension Health,RN Medical Surgical,ASC-9446|AH-HHC-34427,onsite,"['Department: Medical Surgical 6 South', 'Shift Timing: Late Evening Shift 18:30-7:00']","['Implement and monitor patient care plans. Monitor, record and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['Traveler RN Medical / Surgical', 'RN Medical / Surgical', 'Registered Nurse > Registered Nurse Nursing']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, National Institutes of Health (NIH) Certification","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.69 /hr","Reward Rate:
USD
$
6.69 /hr"
Ascension Health,Registered Nurse,ASC-9349|AH-HHC-19504,onsite,"['Department: Medical Oncology', 'Shift Timings: Night Shift 19:00- 7:00 Hours ']","['Implement and monitor patient care plans. Monitor, record, and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['Traveler RN', 'Registered Nurse > Registered Nurse Nursing']",3 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, ONS chemo certification","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.69 /hr","Reward Rate:
USD
$
6.69 /hr"
Ascension Health,Registered Nurse,ASC-9348|AH-HHC-71926,onsite,"['Department: Medical Oncology', 'Shift Timings: Morning Shift- 7:00-19:00 Hours ']","['Implement and monitor patient care plans. Monitor, record, and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['Traveler RN', 'Registered Nurse > Registered Nurse Nursing']",3 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, ONS chemo certification","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.69 /hr","Reward Rate:
USD
$
6.69 /hr"
Ascension Health,Pediatric Congenital Heart ECHO sonographer,ASC-9307|AH-HHC-65475,onsite,"['Department: Diagnostic Cardiology Anc', 'Shift Timings: Morning Shift 07:00 - 17:30 Hours']","['ECHO Department with 4 FT ECHO sonographers.', 'Cardiac surgical program includes highest acuity pediatric and adult congenital heart patients.', 'Department covers inpatient and outpatient ECHO needs.', 'Techs work closely with cardiologists in all areas of the cardiac program.']",['Pediatric Congenital Heart ECHO sonographer'],1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, Advanced Cardiovascular Life Support (ACLS), National Institutes of Health (NIH)","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
5.68 /hr","Reward Rate:
USD
$
5.68 /hr"
Ascension Health,Pediatric Congenital Heart ECHO sonographer,ASCECOHE1688420616|AH-HHC-39312,onsite,"['Department: Diagnostic Cardiology Anc', 'Shift Timings: Morning Shift 07:00 - 17:30 Hours']","['Set up and adjust all imaging equipment and manually maneuvers transducers to perform exams.', 'Implement safety standards and perform appropriate quality control procedures.', 'Perform routine and complex studies and assists in a variety of imaging procedures.', 'Recognize significant structures, artifacts, pathology and equipment limitations.', 'Position patients and select anatomic and technical parameters accurately.']",['Pediatric Congenital Heart ECHO sonographer'],1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, Advanced Cardiovascular Life Support (ACLS), National Institutes of Health (NIH)","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
5.68 /hr","Reward Rate:
USD
$
5.68 /hr"
Ascension Health,RN - Pedi CVICU,ASC-9236|AH-HHC-90409,onsite,"['Department: Pediatric ICU Unit', 'Shift Timings: Night Shift 18:45 - 07:15 Hours ']","['Assist with patient care including observation and documentation of patient healthcare needs and communication of pertinent information to the registered nurse and other members of the interdisciplinary healthcare team.', 'Assist with documentation and implementation of physician and nursing orders under the direction of the registered nurse preceptor.', 'Implement and monitor patient care plans. Communicate, monitor and record changes in patient condition as appropriate.', 'Actively engage and participate in transition to practice programs in order to develop clinical thinking and enhanced clinical judgment to provide safe, competent, person-centered care.']","['RN - Pedi CVICU', 'Traveler RN - Pedi CVICU']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, Pediatric Advanced Life Support (PALS) Certification, National Institutes of Health (NIH)","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.85 /hr","Reward Rate:
USD
$
6.85 /hr"
Ascension Health,Registered Respiratory Therapist,ASC-8256|AH-HHC-61442,onsite,"['2 years respiratory therapy experience required (any population)- Neonatal / Pediatric ICU experience, Texas Licensure Required, Registered Respiratory Therapist (RRT) certification required', 'Department: Respiratory Therapy', 'Shift Timings: 18:30 - 07:00']","['Assess patient for appropriate type and frequency of treatment and develops a plan of care based on diagnosis.', 'Implement and monitor patient care plan and equipment.', 'Monitor, record and communicate patient condition.', 'Perform advanced respiratory care modalities.', 'Evaluate respiratory practice, administration of medications, and treatment based on patient outcome.', 'Educate the patient and family about the health condition and provides information about community support groups and other available programs.', 'Respond to emergency resuscitation team code.']","['Registered Respiratory Therapist (RRT)', 'Traveler Registered Respiratory Therapist']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, Licensed Registered Nurse credentialed from the Texas Board of Nursing required","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
5.68 /hr","Reward Rate:
USD
$
5.68 /hr"
Ascension Health,RN Step Down,ASC-8239|AH-HHC-48414,onsite,"['Provide direct nursing care in accordance with established policies, procedures and protocols of the healthcare organization.', 'Department: Stepdown Intermediate Care', 'Shift Timings: 19:00 - 07:30']","['Implement and monitor patient care plans. Monitor, record, and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['RN Step Down', 'Travel RN', 'Traveler Step Down RN']",1 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, National Institutes of Health (NIH), Advanced Cardiovascular Life Support (ACLS), Licensed Registered Nurse credentialed from the Wisconsin Board of Nursing required","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.69 /hr","Reward Rate:
USD
$
6.69 /hr"
Ascension Health,Registered Nurse Oncology,ASC-9077|AH-HHC-98470,onsite,"['Department: Chemotherapy', 'Shift Timings: Morning Shift  08:00 - 17:30 Hours ']","['Implement and monitor patient care plans. Monitor, record and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['RN Oncology', 'Registered Nurse Oncology', 'Travel RN Oncology']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen",,"Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.69 /hr","Reward Rate:
USD
$
6.69 /hr"
Ascension Health,Registered Nurse Oncology,ASC-9077|AH-HHC-96845,onsite,"['Department: Chemotherapy', 'Shift Timings: Morning Shift  08:00 - 17:30 Hours ']","['Implement and monitor patient care plans. Monitor, record and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['RN Oncology', 'Registered Nurse Oncology', 'Travel RN Oncology']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen",,"Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.69 /hr","Reward Rate:
USD
$
6.69 /hr"
Ascension Health,Ultrasound Technician,ASC-8929|AH-HHC-55319,onsite,"['Department: ULTRASOUND', 'Shift Timings: Night Shift 19:00 - 07:30 Hours .']","['The Ultrasound Technologist performs diagnostic ultrasound studies, demonstrating good judgment in the use and application of ultrasound equipment.', 'The incumbent assesses the findings in the ultrasound examinations and assists the radiologist and staff physicians in interpreting the ultrasound studies.']","['Traveler Ultrasound Technician', 'Ultrasound Technicians']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, American Registry for Diagnostic Medical Sonography (ARDMS)","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
7.16 /hr","Reward Rate:
USD
$
7.16 /hr"
Ascension Health,Certified Surgical Technician,ASC-8194|AH-HHC-75382,onsite,"['Preparing and sterilizing the operating rooms, as well as the necessary equipment and instruments, prior to any surgical procedure. You will also be charged with preparing the patients for surgery and help provide a great patient experience overall.', 'BLS, Certified ST; 0630-1500; Call based on department needs but usually: 4 weeknights per pay period from 1500-0630. Every other weekend from Friday 1500 to Monday 0630, Holidays covered by call as needed; Minimum of 3 years surgical tech experience needed, must be competent to first scrub open heart procedures. TAVR experience preferred; will float between 3 Fox Valley sites of St Elizabeth, Mercy Medical and Calumet as needed.', 'Department: Surgery', 'Shift Timings: 06:30 - 15:00']","['Preparing sterile operating rooms for surgeries.', 'Sterilizing equipment and instruments.', 'Stocking adequate supplies for surgery.', 'Preparing patients for surgery by washing and disinfecting incision sites.', 'Providing support during surgery by passing instruments and other supplies.', 'Tracking surgical supplies.', 'Staying up-to-date on surgical technology, medical terminology, and procedures.', 'Working well with surgeons, surgical assistant, nurses and general surgical team.', 'Helping provide great patient care.']",['Certified Surgical Technician (CST)'],1 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen",Certifications: Basic Life Support (BLS),"Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
5.21 /hr","Reward Rate:
USD
$
5.21 /hr"
Ascension Health,RN Telemetry,ASC-8168|AH-HHC-71170,onsite,"['Provide direct nursing care in accordance with established policies, procedures and protocols of the healthcare organization.', 'Department: Cardiovascular Unit', 'Shift Timings: 06:45 - 19:15']","[""Studying patients' medical history, test results, and treatment plans."", 'Tracking routine heart rate, blood pressure, and pulse oximetry measurements.', 'Monitoring, interpreting, and recording data from specialized medical technologies and equipment.', 'Administering medication and performing treatment interventions in consultation with healthcare specialists.', 'Maintaining and updating ward charts, patient files, and medical records.', 'Instructing Telemetry Unit staff on patient care and treatment plans.', 'Collaborating with healthcare specialists and reporting changes and deteriorating conditions.', 'Explaining tests results and procedures to patients and their families, as well as answering questions.', 'Advising patients on post-hospital care, including prescribed medicine, home care protocols, disease prevention, and lifestyle changes.']","['Registered Nurse (RN) - Telemetry', 'Telemetry', 'Traveler Registered Nurse (RN) - Telemetry']",1 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) , Advanced Cardiovascular Life Support (ACLS), Licensed Registered Nurse credentialed from the Tennessee Board of Nursing required","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.46 /hr","Reward Rate:
USD
$
6.46 /hr"
Ascension Health,RN Labor and Delivery,ASC-8926|AH-HHC-50202,onsite,"['Department: Labor and Delivery', 'Shift Timings: Night shift 18:45 - 07:15 Hours ']","['Implement and monitor patient care plans.', 'Monitor, record, and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders. ', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['RN Labor AND Delivery', 'Traveler RN Labor AND Delivery']",1 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, Advanced Cardiovascular Life Support (ACLS), Neonatal Resuscitation Program (NRP) Certification, Pediatric Advanced Life Support (PALS) Certification","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.92 /hr","Reward Rate:
USD
$
6.92 /hr"
