organization,est_earnings,job_position,jobpost_id,level,reports_to,vacant_since,vacancies,travel_required,visa_support,report_to_location,country,city,state,postal_code,currency,minimum_salary,maximum_salary,signing_bonus,bonus_description,relocation_package,job_description,company_culture,benefits,must_have
Havasu Regional Medical Center,"$24,840",Director of Emergency Department,ojqgezmr6h3u,Senior,Chief Nursing Officer,This is a newly opened position,1,Travel not required,No visa sponsorships supported,"Yes, they must report in-person to a specific location",United States of America,Lake Havasu City,AZ,86403,$ USD,"$126,000.00","$150,000.00",Yes,"$15,000 sign-on bonus/relocation",Partial,"Directs the department's activities and resources to achieve departmental and organizational objectives. This is a Leadership position which assures the delivery in excellence of patient care.
Overseeing 24 licensed beds, 28,000 average annual visits, 31 full time employees.","United by a common purpose of ""Making Communities Healthier"" Havasu Regional Medical Center is committed to create places where People choose to come for health care,  Physicians want to practices and Employees want to work. We have a great team of medical professionals that share the core values of honesty, integrity and trustworthiness, inclusion, compassion, and legal and ethical compliance. 

Our facilities offers competitive wages, benefits and opportunities to grow with tuition reimbursement and career coach. Great environment and a beautiful city.",DENTAL INSURANCE MEDICAL INSURANCE VISION INSURANCE LIFE INSURANCE RETIREMENT PAID TIME OFF,"1
Bachelor's degree required.
2
Certifications: ACLS required upon hire
3
Arizona State Registered RN License
4
Minimum of 5 years' experience in ED and at least 3 years in upper management acute care hospital setting "
Clark Regional Medical,"$12,780",Circulator RN,4tfq0uwrbajh,Mid-Level,Director of OR,Less than 30 days,1,Travel not required,No visa sponsorships supported,"Yes, they must report in-person to a specific location",United States of America,Winchester,KY,40391,$ USD,"$60,000.00","$82,000.00",Yes,"10,000",None,"Performs plan of care intervention, including medication administration, specimen collection, clinical treatments, as well as other medical care treatment.
Documents patient care given.
Monitors, records, and communicates patient condition as appropriate to care team, physician, patient, and family.
Monitors surgical asepsis, sterile technique, prepares and positions patients for the procedure. Ensures all equipment, supplies and instrumentation are validated and present prior to procedure.
Collaborates as needed across disciplines to coordinate patient care, including patient transfer, discharge, referral and spiritual/psychosocial support needs.
Evaluates learning needs of patient and/or family and provides patient/family education appropriate to age, culture, condition, and circumstances throughout the perioperative process.
Works as an advocate for the physical and emotional well-being of the patient.
Assesses and cares for the surgical patient throughout the intraoperative process. Assists with preoperative preparation and postoperative care.
Operates specialized equipment for procedures. Maintains a safe surgical environment.","About Us 
Lifepoint Health’s Central Kentucky market is comprised of four acute care, community-based hospitals, with over 50 outpatient clinics that provide comprehensive healthcare in the Bluegrass region. Bluegrass Community Hospital (Versailles, KY), Bourbon Community Hospital (Paris, KY), Clark Regional Medical Center (Winchester, KY), and Georgetown Community Hospital (Georgetown, KY) are committed to our mission of making communities healthier. As an integrated network, our facilities have the ability and resources to develop opportunities for professional growth and advancement to accomplish your career goals. We take pride in personalized patient care backed by high-quality designations to support a culture of safety for both employees and patients. Get back to the heart of your community by caring for your neighbors -- join our team today! 
A Career with Us Offers: 
Newly Adjusted Competitive Pay Rates  
Paid Time Off (PTO)  
Extended Illness Benefit (EIB)  
Flexible Spending Accounts (FSA)  
Choice of Insurance Plans (Health, Dental, Vision, Life)  
Educational Assistance  
Bereavement Leave 
401(k) Match 
Free Parking 
 ",DENTAL INSURANCE MEDICAL INSURANCE VISION INSURANCE LIFE INSURANCE RETIREMENT PAID TIME OFF,"1
Circulator Experience WILL ONLY INTERVIEW RN's WITH CIRC EXP
2
Associate’s Degree Nursing (ADN): Required, validated by the presence of an active Kentucky RN license.
3
Basic Life Support (BLS) within 30 days
4
Must be able to take call"
Willamette Valley Medical Center,"$17,190",RN - Critical Care - FT - Night Shift,2hs5zj97ypw6,Mid-Level,Director,Less than 30 days,1,Travel not required,No visa sponsorships supported,"Yes, they must report in-person to a specific location",United States of America,McMinnville,OR,97128,$ USD,"$76,000.00","$115,000.00",Yes,"20,000",None,"Position Summary
The Registered Nurse utilizes the knowledge bases of nursing education and experience in order to deliver nursing care using the nursing process according to the hospitals policies, procedures, and protocols. The RN responds to life-threatening situations with appropriate nursing interventions. The RN organizes patient care delivery by prioritizing, delegating, delivering and evaluating on an ongoing basis.

Essential Job Functions

Demonstrates knowledge and appropriate use of the Nursing Process for patients in the following age groups:
Infants, Pediatrics, Adolescents, Adults, Geriatrics.
Documents thoroughly, following regulatory and hospital requirements.
Participates in the responsible management of health care resources.
Assumes responsibility for clinical competency and professional development.
Knowledge, Skills, and Abilities

Demonstrate good judgment, patience, and maintain a professional demeanor at all times
Must be able to work in a busy and stressful environment
Computer skills: Word, Excel, Outlook, Electronic medical records software
Organizational skills and the ability to prioritize
Interpersonal verbal communication and advanced math skills
Creativity, problem analysis and decision making","Willamette Valley Medical Center (WVMC) is a 60-bed acute-care, full-service facility, fully accredited by The Joint Commission and certified as an accredited Chest Pain Center by ACC Accreditation Services, the accrediting arm of the American College of Cardiology.
WVMC features a 24-hour Emergency Department with round-the-clock imaging and laboratory services, the Joint Replacement Institute (Advanced Certified in Total Hip and Knee Replacement by the Joint Commission), an Intensive Care Unit, and a Senior Behavioral Health Services unit. WVMC also provides a host of other services including a full spectrum of inpatient and outpatient Surgical Services, a Family Birthing Center, Endoscopy, Cardiac Catheterization Lab, Cardiopulmonary Services, and Therapy Services. In addition, the hospital offers specialty radiation oncology services in the H. R. Hoover, MD, Cancer Center and advanced wound treatment at the Wound Care & Hyperbaric Medicine Center.",DENTAL INSURANCE MEDICAL INSURANCE VISION INSURANCE LIFE INSURANCE RETIREMENT PAID TIME OFF,"1
Current RN licensure in the state of Oregon.
2
Obtain BLS certification within 3 months of hire and maintain as current.
3
Obtain ACLS certification within 6 months of hire and maintain as current.  "
Paris Regional Medical Center,"$12,150",Multi - Unit Physicians Clinic Manager,worne3t9by76,Mid-Level,Executive Director of Physician Practice,Less than 30 days,1,Travel not required,No visa sponsorships supported,"Yes, they must report in-person to a specific location",United States of America,Paris,TX,75462,$ USD,"$60,000.00","$75,000.00",Negotiable,Full,Multi - Unit Physician's Office management experience required.,"Will manage the day-to-day clinical and administrative operations of the Healthcare Group. He or she will be also be responsible for assisting with marketing, ancillary services, new employee orientation, practice start up operations, and implementation of software upgrades for both EMR and Practice management Software. Performs other duties as assigned.","·     Paris Regional Medical Center's mission is to make communities healthier. 
·     We want to create places where: people choose to come for healthcare, physicians want to practice, and employees want to work.
·     We enjoy our small-town living.
·     Cost of living is lower.
·     Less traffic congestion that bigger more populated cities.
·     Still within about 90 miles of Dallas.
·     Click Here to check out our visitors guide to see more the fun things Paris has to offe",DENTAL INSURANCE MEDICAL INSURANCE VISION INSURANCE LIFE INSURANCE RETIREMENT PAID TIME OFF,"1
Multi - Unit Physician's Office management experience required.
2
Ability to work with physicians in a collaborative manner.
3
Healthcare or medical office management experience required.
4
Knowledge of Medicare, Medicaid, third party payers "
Havasu Regional Medical Center,"$18,720",Director of Respiratory Therapy,ip3tcfrxos6z,Senior,Chief Nursing Officer,This is a newly opened position,1,Travel not required,No visa sponsorships supported,"Yes, they must report in-person to a specific location",United States of America,Lake Havasu City,AZ,86403,$ USD,"$92,000.00","$116,000.00",Yes,"$15,000 sign-on bonus/relocation",Partial,"Responsible for the strategy, operation, quality, and personnel development of the HRMC Respiratory Therapy Department. In collaboration with the senior management team, develops and implements the strategic goals of all department services.

Areas of Oversight: All clinical departments with the Respiratory Therapy Department not limited but to include: RT, EKG, EEG, and Outpatient Sleep Center ","United by a common purpose of ""Making Communities Healthier"" Havasu Regional Medical Center is committed to create places where People choose to come for health care,  Physicians want to practices and Employees want to work. We have a great team of medical professionals that share the core values of honesty, integrity and trustworthiness, inclusion, compassion, and legal and ethical compliance. 

Our facilities offers competitive wages, benefits and opportunities to grow with tuition reimbursement and career coach. Great environment and a beautiful city.",DENTAL INSURANCE MEDICAL INSURANCE VISION INSURANCE LIFE INSURANCE RETIREMENT PAID TIME OFF,"1
Associate's degree required.
2
Minimum of 5 years' experience in RT and at least 2 year in upper management acute care hospital setting 
3
Arizona Registered Respiratory Therapist"
Valley View Medical Center,"$16,200",Speech Language Pathologist,ra9ce7og2mnt,Junior,Program Director,More than 30 days,1,Travel not required,No visa sponsorships supported,"Yes, they must report in-person to a specific location",United States of America,Fort Mohave,AZ,86426,$ USD,"$85,000.00","$95,000.00",No,None,Active Arizona SLP license,"Lifepoint Rehabilitation is a leading provider of acute inpatient rehabilitation services with more than 300 hospital-based rehabilitation units, medical/surgical and outpatient therapy settings and more than 30 joint venture inpatient rehabilitation hospitals across the country. We provide high quality, patient-centered care to those who have experienced a loss of function from an injury or illness. Our goal is to help our patients recover as fully as possible and regain the level of independence they hope to achieve.
Success within a company doesn’t just happen. It requires committed teams of talented people who understand and embrace an organization’s goals and work together at the highest level to achieve them. Join our team of interdisciplinary doctors, nurses, therapists and other experts today! 
  As a Speech Language Pathologist / SLP you will:
  Play an important part in helping our patient to recover and feel better about themselves by providing therapy to maximize speech, language, cognitive and swallowing abilities.
Communicate patient progress or problems to supervisor and other team members; assist with patient scheduling and post charges daily to patient records.
Document patient care in accordance with Kindred Healthcare, Inc., regulatory, licensing, payer and accrediting requirements.
Instruct patient's family or nursing staff in follow-through programs.
Maintain equipment and work area in a safe and clean condition.
Make presentations to support marketing efforts, at team conferences and in-services.
Handle job responsibilities in accordance with the Company's Code of Business Conduct, the Corporate Compliance Agreement, appropriate professional standard and applicable state/federal laws.
    As a Speech Language Pathologist / SLP you will have:

Graduate of a master’s level program in Speech Language Pathology which is accredited by Education Standards Board or whose practice meets ASHA certification requirements.
Meet the education and experience requirements for Certification of Clinical Competence in Speech Language Pathology or Audiology granted by ASHA
Minimum of six months speech therapist / speech language pathologist experience working with an adult and geriatric population.
Current and unrestricted Speech Language Pathologist license in the state where services are rendered.
Current CPR certification.
Strong organizational and communication skills.

We offer competitive compensation and an excellent benefits package that includes an invaluable orientation program, medical, dental, vision, 401(k), paid time off, and much more while working with a healthcare leader!
  ·      Affordable medical, dental and vision plans provided to meet the needs of full employees and their families.
·      Up to 16 days of PTO for full time employees
·      6 paid holidays for full time employees
·      Tuition reimbursement, continuing education opportunities and apprenticeship programs for eligible employees
·      401(k) retirement plan
·      Flexible spending and health savings accounts.
 ","Lifepoint Rehabilitation is a leading provider of acute inpatient rehabilitation services with more than 300 hospital-based rehabilitation units, medical/surgical and outpatient therapy settings and more than 30 joint venture inpatient rehabilitation hospitals across the country.

We provide high quality, patient-centered care to those who have experienced a loss of function from an injury or illness. Our team conducts comprehensive evaluations to determine each patient’s unique needs, and then creates a multifaceted program using the latest rehabilitation therapies and advanced technologies to support them on their road to recovery. Our goal is to help our patients recover as fully as possible and regain the level of independence they hope to achieve.",DENTAL INSURANCE MEDICAL INSURANCE VISION INSURANCE LIFE INSURANCE RETIREMENT PAID TIME OFF,"1
Active Arizona SLP license
2
Inpatient Rehab experience 
3
open to CFY new grads "
Memorial Hermann Health System,"$15,570",CT Tech Nights- Greater Heights Hospital $5k Sign on Bonus!,usom8ldhre75,Mid-Level,Manager of Imaging,This is a newly opened position,2,Travel not required,No visa sponsorships supported,"Yes, they must report in-person to a specific location",United States of America,Houston,TX,77008,$ USD,"$67,000.00","$106,000.00",Yes,"$5,000 Sign on Bonus ",None,"Schedule:
Thursday, Friday, and Saturday 7p-7a 

or

Matrix schedule:
Thur – 7p-7a
Fri-  7p-7a
Sat – 7p- 7a
Sun – 7p-7a
Mon – 9p-7a
Tues – 9p-7a
Wed – 9p- 7a
Off seven days

Minimum Qualifications
Education: Graduate of an accredited school of Radiologic Technology
Licenses/Certifications:

Certified in Basic or Advanced Life Support, required
Current license or temporary license by the Texas Medical Board (MRT), required
Registered CT Technologist by the American Registry of Radiologic Technologists (ARRT-CT), required
Experience / Knowledge / Skills:

Ability to lift and/or maneuver patients in conjunction with others in order to perform job functions
Demonstrates commitment to the Partners-in-Caring process by integrating our culture in all internal and external customer interactions; delivers on our brand promise of “we advance health” through innovation, accountability, empowerment, collaboration, compassion and results while ensuring one Memorial Hermann.
  Principal Accountabilities

Performs CT scans on patients: Prepares patients for CT scan, explains procedure, administers contrast when necessary, positions patients for the CT scan, selects appropriate imaging techniques, and ensures technical quality of the scan 
Enters and monitors patient data
Performs quality assurance on CT equipment. May assist with initial and renewal application for ACR and other accreditation.
Identifies and reports any accidents, complaints or equipment malfunction to department management.
Takes emergency call within the department.    
Ensures safe care to patients, staff and visitors; adheres to all Memorial Hermann policies, procedures, and standards within budgetary specifications including time management, supply management, productivity and quality of service.
Promotes individual professional growth and development by meeting requirements for mandatory/continuing education and skills competency; supports department-based goals which contribute to the success of the organization; serves as preceptor, mentor and resource to less experienced staff.
Other duties as assigned.","What does it mean to truly connect with a patient? You’ll find out as part of the Memorial Hermann Health System. Here, you’ll have the unique opportunity to utilize the latest technical advances in medicine while also benefiting from our insights into the human aspects of care. You’ll serve each patient as an individual, and you’ll help develop their own personalized plan of care.
Every day, you’ll be empowered to do what’s best for them while also advancing your own skills. If you want to explore a change in your career, we encourage it. In fact, we celebrate it. Your mentors will guide your growth, your co-workers will encourage your success and your career will be built the way you want. We invite you to follow your dreams and lead with compassionate care.

The Houston Chronicle named us a Top Workplace for the 10th consecutive year. They partnered with Energage to gather survey responses from employees, and ranked companies based on criteria ranging from company values and culture, to leadership and benefits.
We rated highly based on our values and the meaningful work we do. We’re honored to receive this recognition and inspired to do more for our people.",DENTAL INSURANCE MEDICAL INSURANCE VISION INSURANCE LIFE INSURANCE RETIREMENT EQUITY PAID TIME OFF OTHER,"1
Graduate of an accredited school of Radiologic Technology
2
Certified in Basic or Advanced Life Support, required
3
Current license or temporary license by the Texas Medical Board (MRT), required
4
Registered CT Technologist by the American Registry of Radiologic Technologists (ARRT-CT), required"
Memorial Hermann Health System,"$21,455",Skilled Nursing Director of Nursing,xkq2buszgp6f,Senior,Director of Operations,More than 30 days,1,Travel not required,No visa sponsorships supported,"Yes, they must report in-person to a specific location",United States of America,Houston,TX,77074,$ USD,"$98,384.00","$140,000.00",No,20% annual bonus based on performance ,None,"5 years of Director of Nursing experience within Skilled Nursing, Long term care, Short Term care, or Rehab facility required.
Must be familiar with Skilled Nursing Regulations, Standards, an Operating principles

The Patient Care Director - University Place is responsible for providing leadership, direction and support for the Long Term Care & Skilled Nursing facility, ensuring the delivery of quality care to patients; and for planning, implementing, reviewing and controlling the budget, staffing, and robust process improvement. Fosters a cooperative and collaborative relationship with the physicians; establishes and maintains good inter and intra-departmental relationships while ensuring compliance with local, state, and federal agencies.

Minimum Qualifications
Education: Nursing degree from an accredited school of professional nursing required; Bachelors Degree preferred
Licenses/Certifications:

Current State of Texas license or temporary/compact license to practice professional nursing
Professional Certification in clinical area or management within one year of hire preferred
Experience / Knowledge / Skills: 

Management experience or leadership of staff with performance management skill experience
Demonstrates commitment to caring for every member of our community by creating compassionate and personalized experiences. Models Memorial Hermann service standards of providing safe, caring, personalized and efficient experiences to patients and our workforce.
Principal Accountabilities
Directs the day-to-day operations for the University Place 60-bed skilled nursing and rehabilitation operation, maintaining 24/7 operational responsibility and directing the responsibilities of nursing administrative staff, direct care, and non-direct care staff. 
Reviews and approves all new hires, establishes and controls standards for performance appraisals; works with managers to identify staffing needs and provides for accordingly; coordinates training needs of staff with education department; remains available, accessible and visible to staff; recognizes staff’s achievements and accomplishments and provides ongoing feedback on performance.
Works with service line leaders and managers to establish departmental scope of service, goals and strategic plan for the department; stays up-to-date on new developments in the field and incorporates such in the department’s scope of service; reviews departmental policies, procedures, and systems; conducts appropriate department promotional activities and participates in hospital market activities.
Monitors and directs all patient care activities.
Considers the diverse needs of each patient through the entire continuum of care, providing and ensuring the highest level of service according to established service standards, optimizing the patient experience. 
Evaluates current patients, and potential patient referral records, to ensure facility can provide the appropriate level of care and services.
Participates in a systemic, interdisciplinary, and ongoing evaluation of programs, process improvement, desired client-centered outcomes, and organizational outcomes.
Collaborates with the Director of Operations and Director of Finance to ensure that revenue, expenses, contribution margin and FTE’s meet or exceed budget; prepares and submits budget and related reports; forecasts and accurately projects expenses; takes corrective action to address negative variances; identifies and proposes capital budget items appropriately.
Promotes physician engagement; including collaborating with medical staff to ensure programs and care meet the needs of patients; in planning new or revised policies, procedures and services; provides rapid response and follow-up to medical staff issues/concerns; seeks new ways to encourage new physicians to partner with the skilled nursing unit. 
Adheres to all local, state, and federal regulatory guidelines, and Texas Board of Nursing requirements and standards.
Ensures proper electronic documentation of care, medications, and treatments.
Manages the department’s various clinical systems and quality measures to ensure that clinical outcomes fall within the state and federal guidelines, as well as ensure state readiness for both complaint visits and standard annual surveys. 
Ensures safe care to patients, staff and visitors; adheres to all Memorial Hermann policies, procedures, and standards within budgetary specifications including time management, supply management, productivity and quality of service.
Promotes individual professional growth and development by meeting requirements for mandatory/continuing education and skills competency; supports department-based goals which contribute to the success of the organization; serves as preceptor, mentor and resource to less experienced staff.
Other duties as assigned","What does it mean to truly connect with a patient? You’ll find out as part of the Memorial Hermann Health System. Here, you’ll have the unique opportunity to utilize the latest technical advances in medicine while also benefiting from our insights into the human aspects of care. You’ll serve each patient as an individual, and you’ll help develop their own personalized plan of care.
Every day, you’ll be empowered to do what’s best for them while also advancing your own skills. If you want to explore a change in your career, we encourage it. In fact, we celebrate it. Your mentors will guide your growth, your co-workers will encourage your success and your career will be built the way you want. We invite you to follow your dreams and lead with compassionate care.

The Houston Chronicle named us a Top Workplace for the 10th consecutive year. They partnered with Energage to gather survey responses from employees, and ranked companies based on criteria ranging from company values and culture, to leadership and benefits.
We rated highly based on our values and the meaningful work we do. We’re honored to receive this recognition and inspired to do more for our people.",DENTAL INSURANCE MEDICAL INSURANCE VISION INSURANCE LIFE INSURANCE RETIREMENT EQUITY PAID TIME OFF OTHER,"1
5+ years of DON experience within Skilled Nursing, Long term care, Short Term care, or Rehab facility required
2
Must be familiar with Texas Skilled Nursing Regulations, Standards, an Operating principles
3
Nursing degree from an accredited school of professional nursing required (RN or LVN)
4
Current State of Texas license or temporary/compact license to practice professional nursing"
Memorial Hermann Health System,"$15,570",CT Tech- SW Hospital $5k Sign on Bonus!,4bz7c2ord0xl,Mid-Level,Manager of Imaging,This is a newly opened position,2,Travel not required,No visa sponsorships supported,"Yes, they must report in-person to a specific location",United States of America,Houston,TX,77074,$ USD,"$67,000.00","$106,000.00",Yes,"$5,000 Sign on Bonus ",None,"Schedule:
Wed-Sat 9pm-7am
or
7pm-7am rotating days

Minimum Qualifications
Education: Graduate of an accredited school of Radiologic Technology
Licenses/Certifications:
Certified in Basic or Advanced Life Support, required.
Current license or temporary license by the Texas Medical Board (MRT), required; and
Registered CT Technologist by the American Registry of Radiologic Technologists (ARRT-CT) or
Nuclear Medicine Technology Certification Board (NMTCB(CT)) in computed tomography or

One of the following along with documented training on the provision of diagnostic CT exams:

Registered Radiology Technologist by the American Registry of Radiologic Technologists (ARRT-R) or
Registered Nuclear Medicine Technologist by the American Registry of Radiologic Technologists (ARRT-N) or
Certified by the Nuclear Medicine Technology Certification Board (NMTCB).

Experience / Knowledge / Skills:
Minimum of one year of experience as a Computed Tomography Technologist or two years of experience as a Radiological Technologist with CT education or experience, preferred.
Ability to lift and/or maneuver patients in conjunction with others in order to perform job functions.
  Principal Accountabilities
Performs CT scans on patients: Prepares patients for CT scan, explains procedure, administers contrast when necessary, positions patients for the CT scan, selects appropriate imaging techniques, and ensures technical quality of the scan. 
Enters and monitors patient data.
Performs quality assurance on CT equipment. May assist with initial and renewal application for ACR and other accreditation.
May assist with initial and renewal application for ACR and other accreditation.
Identifies and reports any accidents, complaints or equipment malfunction to department management.
Takes emergency call within the department. May be required to work weekends and float to other locations as needed.
Ensures safe care to patients, staff and visitors; adheres to all Memorial Hermann policies, procedures, and standards within budgetary specifications including time management, supply management, productivity and quality of service.
Promotes individual professional growth and development by meeting requirements for mandatory/continuing education and skills competency; supports department-based goals which contribute to the success of the organization; serves as preceptor, mentor and resource to less experienced staff.
Demonstrates commitment to caring for every member of our community by creating compassionate and personalized experiences. Models Memorial Hermann’s service standards by providing safe, caring, personalized and efficient experiences to patients and colleagues.
Other duties as assigned.","What does it mean to truly connect with a patient? You’ll find out as part of the Memorial Hermann Health System. Here, you’ll have the unique opportunity to utilize the latest technical advances in medicine while also benefiting from our insights into the human aspects of care. You’ll serve each patient as an individual, and you’ll help develop their own personalized plan of care.
Every day, you’ll be empowered to do what’s best for them while also advancing your own skills. If you want to explore a change in your career, we encourage it. In fact, we celebrate it. Your mentors will guide your growth, your co-workers will encourage your success and your career will be built the way you want. We invite you to follow your dreams and lead with compassionate care.

The Houston Chronicle named us a Top Workplace for the 10th consecutive year. They partnered with Energage to gather survey responses from employees, and ranked companies based on criteria ranging from company values and culture, to leadership and benefits.
We rated highly based on our values and the meaningful work we do. We’re honored to receive this recognition and inspired to do more for our people.",DENTAL INSURANCE MEDICAL INSURANCE VISION INSURANCE LIFE INSURANCE RETIREMENT EQUITY PAID TIME OFF OTHER,"1
Graduate of an accredited school of Radiologic Technology
2
Certified in Basic or Advanced Life Support, required
3
Current license or temporary license by the Texas Medical Board (MRT), required
4
Registered CT Technologist by the American Registry of Radiologic Technologists (ARRT-CT), or options in description "
SageWest Health Care,"$16,439",Director of Acute Care Services,betgcva8sj4i,Executive,Chief Nursing Officer,This is a newly opened position,1,Up to 20% of the time,No visa sponsorships supported,"Yes, they must report in-person to a specific location",United States of America,Lander,WY,82520,$ USD,"$73,063.00","$109,595.00",Yes,Full,Wyoming RN License or Comact Equivalent ,"To provide clinical practice leadership for the operation of specified patient services departments including Medical/Surgical and Intensive Care units within SageWest Health Care. To direct clinical practice, coordinate patient service delivery, educate and develop staff, control budget(s) and manage the work environment. To serve as a resource for interdisciplinary divisions within the hospital.
Analytical ability sufficient to evaluate data, make judgments and recommendations regarding operations and budgets, design protocols, and generate well developed reports.Professional knowledge sufficient to assure quality of care and patient safety provided with multidisciplinary services areas.
  Responsible for the planning, organizing, and directing of the operations and staff, clinical and nonclinical, of the medical/surgical and ICU units.The System Acute Care Services Director will divide time, duties, and attention at both the Riverton and Lander campuses based on the need of the patients, departments, organization and system","Our Vision & Mission
Our vision is to serve our communities’ evolving healthcare needs by cultivating a network of compassionate, dedicated professionals. We are committed to working together, using best practices, improving quality, and assuring an exceptional patient experience.

The mission of SageWest Health Care is to make our communities healthier. In order to achieve this, we are committed to five core values:

Delivering high-quality patient care
Our highest priority is caring for people - the friends, family and neighbors whom we serve in our community.

Creating excellent workplaces for our employees
We are committed to providing an environment based on respect and one which encourages personal and profession growth.

Supporting physicians
We support our physicians' practices by providing an innovative facility, advanced technology, and a well trained, organized clinical staff.

Providing community value
We are a vital resource for our community and because we take pride in our community, we are actively involved in supporting local, civic, and charitable organizations.

Ensuring fiscal responsibility
We are fiscally responsible ensuring that we meet our capital needs and the expectations of our stakeholders.",DENTAL INSURANCE MEDICAL INSURANCE VISION INSURANCE LIFE INSURANCE RETIREMENT PAID TIME OFF,"1
Wyoming RN License or Comact Equivalent 
2
5 years progressive leadership and managerial experience
3
Bachelors of Science Degree in Nursing or equivalent experience"
Memorial Hermann Health System,"$15,570",Pediatric Cardiac Sonographer,paioq6zt12bk,Mid-Level,Manager of Imaging,This is a newly opened position,3,Travel not required,No visa sponsorships supported,"Yes, they must report in-person to a specific location",United States of America,Houston,TX,77030,$ USD,"$67,000.00","$106,000.00",No,Partial,"Certified in Basic or Advanced Life Support, required","Schedule:
FT Days (M-F 7:30am-4pm)
PT Days 3 days per week variable schedule 8-10hr shifts 
*Some call required 

As a Cardiac Sonographer with the Heart Center, you will collaborate with pediatric critical care medicine physicians and hospitalists, who are faculty at McGovern Medical School at UTHealth, providing twenty-four hour, in-house and on call coverage to ensure that patients with intensive care needs receive the best care possible.
By utilizing state-of-the-art techniques and services, the Children’s Heart Institute strives to offer patients with the most complex problems the greatest opportunity for a normal life. We offer innovative treatment methods and specialized services with ongoing cardiac training and mentorship for our sonographer team.
As a Level I Pediatric Trauma Center and one of the busiest trauma centers in the country, Children’s Memorial Hermann Hospital is specialized and equipped to care for even the most severe cases.


Named one of the top 50 best children's hospitals nationally in Cardiology & Heart Surgery by U.S. News & World Report.
Earned three-star rating from The Society of Thoracic Surgeons (STS) for its patient care and outcomes in congenital heart surgery. The three-star rating denotes the highest category of quality.
Four Pediatric Cardiothoracic Surgeons supported by a pediatric VAD and ECMO team
UNOS certification for heart transplants
Magnet Designated Facility
Scanning some of the most complex hearts and those fresh from open heart surgery as well using a plethora of machines, i.e. Philips IE 33 and GE
You will scan not only in-house patients (i.e. NICU, PICU) but also in the CVOR, Pedi Cath Labs and travel to 7 outpatient clinics in the city where you will work closely with the cardiologist in those spaces.

Minimum Qualifications
Education: Graduate of an accredited school of Cardiac Sonography Technology, Radiologic Technology, or Sonography Technology, preferred
License/Certification:

Certified in Basic or Advanced Life Support, required
One (1) of the following required:
Registered Cardiac Sonographer (RCS) by the Cardiovascular Credentialing International or
Registered Congenital Cardiac Sonographer (RCCS) by the Cardiovascular Credentialing International or
Registered Diagnostic Cardiac Sonographer (RDCS) by the American Registry for Diagnostic Medical Sonographers (ARDMS)

Experience / Knowledge / Skills:

Ability to lift and/or maneuver patients in conjunction with others in order to perform job functions
Demonstrates commitment to the Partners-in-Caring process by integrating our culture in all internal and external customer interactions; delivers on our brand promise of “we advance health” through innovation, accountability, empowerment, collaboration, compassion and results while ensuring one Memorial Hermann.

Principal Accountabilities

Performs echocardiogram tests on patients: Prepares patients for the test, explains test, positions patients for the test, selects appropriate imaging techniques, and ensures technical quality of the images. 
Enters and monitors patient data
Demonstrates excellent customer service skills and escalates issues appropriately.
Performs quality assurance on the equipment. May assist with initial and renewal application for ACR and other accreditation 
Identifies and reports any accidents, complaints or equipment malfunction to the Supervisor/Manager    
Participates in performance improvement activities established by the department.
Takes emergency call within the department.    
Ensures safe care to patients, staff and visitors; adheres to all Memorial Hermann policies, procedures, and standards within budgetary specifications including time management, supply management, productivity and quality of service.
Promotes individual professional growth and development by meeting requirements for mandatory/continuing education and skills competency; supports department-based goals which contribute to the success of the organization; serves as preceptor, mentor and resource to less experienced staff.
Other duties as assigned.","What does it mean to truly connect with a patient? You’ll find out as part of the Memorial Hermann Health System. Here, you’ll have the unique opportunity to utilize the latest technical advances in medicine while also benefiting from our insights into the human aspects of care. You’ll serve each patient as an individual, and you’ll help develop their own personalized plan of care.
Every day, you’ll be empowered to do what’s best for them while also advancing your own skills. If you want to explore a change in your career, we encourage it. In fact, we celebrate it. Your mentors will guide your growth, your co-workers will encourage your success and your career will be built the way you want. We invite you to follow your dreams and lead with compassionate care.

The Houston Chronicle named us a Top Workplace for the 10th consecutive year. They partnered with Energage to gather survey responses from employees, and ranked companies based on criteria ranging from company values and culture, to leadership and benefits.
We rated highly based on our values and the meaningful work we do. We’re honored to receive this recognition and inspired to do more for our people.",DENTAL INSURANCE MEDICAL INSURANCE VISION INSURANCE LIFE INSURANCE RETIREMENT EQUITY PAID TIME OFF OTHER,"1
Certified in Basic or Advanced Life Support, required
2
One (1) of the following required: Registered Cardiac Sonographer (RCS) by the Cardiovascular Credentialing International or
3
Registered Congenital Cardiac Sonographer (RCCS) by the Cardiovascular Credentialing International or
4
Registered Diagnostic Cardiac Sonographer (RDCS) by the American Registry for Diagnostic Medical Sonographers (ARDMS)
5
Pediatric echo experience"
